어플 이름,리뷰 내용,별점,리뷰 작성 시 앱 버전
AI 그림일기,나의 이야기가 온전히 존중받을 수 있는 공간에 인간의 부산물이 감정을 세줄안에 정리해서 담아둘 수 있어 감정정리에 도움이 돼요 책 제작비용은 좀 비싸다고 생각하지만 그만큼의 가치가 있어서 좋습니다,5,2.1.56
AI 그림일기,"제발 앱 오픈 직후 팝업(니콘 어쩌고)에 x표시나 나가기 표시 좀 해주세요. 앱 계속 이탈해서 화나네요. 노션, 인스타, 개인 콘텐츠로 대체제는 많고 포토북 스타트업들도 생겨서 더 예쁘고 저렴한 포토북 찾아서 구매할 수 도 있지만 윌림이 갖고 있는 지향점이 좋아서 이용 중입니다.",5,
AI 그림일기,아이의 독서기록으로 남기고 있는데 편하고 좋아요~,5,2.1.56
AI 그림일기,내 일상의 하루하루가 소중해 지는 앱. 너무 좋아요. 책으로도 쉽게 만들수 있어 좋습니다. 사진첩을 보며 과거들의 일상도 정리하고 있는데 사진 올릴때 스크롤바를 크게 만들어 주시면 아주 오래 된 과거 사진 올릴때 좀 편할 거 같아요.,5,2.1.56
AI 그림일기,세줄일기를 매일매일 열심히 쓰고 있는 유저입니다. 일단 이렇 좋은 어플 개발해주셔서 감사합니다. 다만 세줄로는 충분치 않은 어느날엔 숨은글을 쓰곤 하는데 다시 찾아보려고 하면 도통 어디있는지 어디서 찾아읽아야하는지 모르겠더라구요ㅠ 글쓴이인 저에게도 숨어서 숨은글인가요?;;;;;; 숨은글을 보려면 어떻게 해야하는지 답변 부탁드립니다:),5,2.1.56
AI 그림일기,sns하듯 간편하게 일기를 남기고 일기책으로도 신청할 수 있어서 나의 역사를 만들 수 있을 것 같아요,5,2.1.56
AI 그림일기,월사용료말고 그냥 앱을 구매하는 것고있으면 좋겠어요,4,2.1.56
AI 그림일기,일기를 쓰고싶게 만드는..고압네요,5,2.1.56
AI 그림일기,매일 일기쓰기 힘든데 세줄이라 부담없이 하루의 생각과 일상을 정리하기 참 좋아요,5,2.1.56
AI 그림일기,너무 좋아요 힐링타임,5,2.1.56
AI 그림일기,심플 딱 두글자,5,2.1.56
AI 그림일기,매일 세줄로 간단하게 기록하니 좋네요,5,2.1.56
AI 그림일기,"안녕하세요? 세줄일기를 이용해 글을쓰고 책을 2번 냈습니다. 너무 만족하고 있는데 저의글을 컴퓨터에서 작성할수 있거나, 그동안 잓성했던 내용을 PDF파일로 받을수 있는 방법은 없나요? 메일로 답변주시면 감사하겠습니다.",5,2.1.56
AI 그림일기,페이스북으로 로그인이 안됩니다ㅠ,2,2.1.56
AI 그림일기,와... 진짜 좋네용. 일기 쓰기에 간펀학 기능만 딱딱 있고! 근데 채팅방 공유를 하거나 다른 사람과 친구를 맺는 그런 기능이 있었으면 합니다. 감사해요~~^^♡♡♡♡♡,4,2.1.56
AI 그림일기,문의하고싶은 내용이 있는데 메일 작성했지만 2-3주가 지나도 답이 안와요. 따로 글을 게시하여 문의할 수 있었으면 좋겠어요. 이 부분이 너무 답답해요,3,2.1.53
AI 그림일기,진짜 휴대폰으로 간단하게 하기 좋다,5,2.1.53
AI 그림일기,재미있나요?,5,
AI 그림일기,페이스북 로그인이 안돼서 메일로 문의 드린게 일주일인데 답장이 없네요 답변부탁드립니다.,4,2.1.54
AI 그림일기,시작하려고 만들었는데 일기책이 왜 사라지는거죠? 2번시도했다가 둘다사라져서 허무함을 느낍니다....,2,
AI 그림일기,세줄일기에 작년 5월 6월 쯤에 여러개의 일기를 작성했는데 지금 업데이트하고 보니깐 다 없어졌는데 제 일기 보려면 어떡하죠? 종종 예전에 쓴 일기 보다가 몇 달만에 들어왔는데 업데이트하고 일기가 하나도 안 남았네요 라이크 글 아니였어요,3,2.1.53
AI 그림일기,"(서버 오류) 페이스북을 통한 로그인이 안됩니다. 도와주세요. 에러코드는 1675030입니다. 회신 드렸구요, 구글 메일로 도움 요청 보내드렸지만 네이버 메일로 답장 부탁드립니다. 페이스북 연동 계정 사용을 다시 하게 해주시던지 다른 계정으로 옮겨주세요.",1,2.1.53
AI 그림일기,익명으로 다른 사람들 생각을 알 수 있다는 점이 재밌게 구성되어있어요. 감성적인 사람들에게 잘 어울리는 일기 어플이네요~,5,2.1.53
AI 그림일기,나의 대나무숲...♡,5,2.1.53
AI 그림일기,안녕하세요~ 간단하게 제 생각을 그때그때 남길 수 있어 편리한 세줄일기 앱 잘 사용하고 있습니다. 그런데 제가 이메일로 문의사항을 보내드렸는데 답장이 오랫동안 오지 않아서요... 제가 궁금한 점은 비공개 일기 보안에 관한 것인데 비공개 일기는 본인만 열람 가능한 게 맞나요? 운영진 분들도 열람 불가능한 건가요? 답변 부탁드립니다~~,5,2.1.53
AI 그림일기,정말 괜찮은 웹 입니다 책으로 출판도 할 수 있습니다,5,2.1.53
AI 그림일기,"푸시 알림으로 사용자들의 일기를 보내주는것같은데, 막상 눌러서 들어가면 그 일기는 안보이고 메인화면만 보이네요. 버그인건지 의도된 동작인건지.. 의도된 동작이라면 아쉽습니다.",3,2.1.53
